,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49143.92083191872
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.512556314468384
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13889145851
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.60965371132
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.906931161880493
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.4597876072
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.6162559986
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.136283159255981
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8274614811
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.15695810318
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.387190341949463
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.50700235367
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.44635009765625
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.629907131195
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.90843915939331
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.037249088287
18,2019-08-30,BUY,NVDA,377,4.154504299163818,27242.789128303528
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.799952507019043
20,2019-09-30,SELL,NVDA,2049,4.272921562194824,8772.016233444214
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.910125732421875
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.53030014038
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.680141448975
24,2019-10-31,BUY,NVDA,3061,5.050086498260498,269.3653702735901
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.5820145607
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.422102451324
27,2019-11-29,BUY,NVDA,5232,5.433221340179443,208.8080506324768
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.738043308258
29,2019-12-31,SELL,NVDA,11902,5.78375244140625,70016.95960092545
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,1.930605411529541
